,firstChar,lastChar,isLastCharVowel,lastTwoChar,gender
223,v,r,0,er,1
224,d,h,0,sh,1
225,a,t,0,et,1
226,s,v,0,ev,1
227,r,i,1,hi,1
228,e,l,0,il,1
229,s,h,0,sh,1
230,p,j,0,aj,1
231,a,y,0,ay,1
232,m,t,0,it,1
233,s,t,0,it,1
234,s,m,0,am,1
235,n,r,0,ar,1
236,j,i,1,ai,1
237,d,k,0,ak,1
238,s,l,0,il,1
239,r,m,0,am,1
240,a,n,0,un,1
241,v,r,0,er,1
242,b,n,0,un,1
243,p,m,0,am,1
244,a,h,0,sh,1
245,k,n,0,an,1
246,m,d,0,hd,1
247,s,n,0,in,1
248,h,n,0,an,1
249,d,k,0,ak,1
250,r,r,0,ir,1
251,v,d,0,od,1
252,c,r,0,er,1
253,k,n,0,an,1
254,r,m,0,am,1
255,j,y,0,ny,1
256,m,d,0,ad,1
257,a,k,0,ok,1
258,r,r,0,er,1
259,a,t,0,it,1
260,g,n,0,an,1
261,a,p,0,ep,1
262,j,h,0,sh,1
263,b,t,0,at,1
264,a,z,0,az,1
265,r,a,1,ja,1
266,p,n,0,en,1
267,m,r,0,ir,1
268,k,k,0,ik,1
269,s,m,0,am,1
270,y,h,0,sh,1
271,m,n,0,an,1
272,r,d,0,id,1
273,j,r,0,er,1
274,p,n,0,an,1
275,v,k,0,ek,1
276,p,u,1,tu,1
277,d,p,0,ep,1
278,d,r,0,ir,1
279,r,i,1,hi,1
280,k,l,0,al,1
281,a,n,0,an,1
282,a,h,0,sh,1
283,k,n,0,an,1
284,s,p,0,ep,1
285,s,r,0,ar,1
286,n,l,0,il,1
287,r,n,0,an,1
288,s,n,0,en,1
289,a,t,0,et,1
290,a,u,1,hu,1
291,s,l,0,il,1
292,a,a,1,ya,1
293,g,v,0,av,1
294,r,a,1,ja,1
295,s,l,0,il,1
296,r,i,1,vi,1
297,s,r,0,ar,1
298,v,h,0,sh,1
299,s,a,1,ia,1
300,s,h,0,sh,1
301,k,n,0,in,1
302,r,t,0,it,1
303,n,e,1,re,1
304,l,a,1,la,1
305,k,n,0,an,1
306,m,r,0,er,1
307,d,k,0,ak,1
308,m,d,0,hd,1
309,s,r,0,er,1
310,s,v,0,iv,1
311,m,n,0,in,1
312,k,n,0,an,1
313,v,h,0,sh,1
314,k,a,1,na,1
315,v,l,0,ol,1
316,s,y,0,ay,1
317,m,d,0,hd,1
318,r,i,1,ni,1
319,h,r,0,ir,1
320,m,n,0,an,1
321,f,d,0,id,1
322,y,j,0,aj,1
323,c,n,0,an,1
324,s,h,0,sh,1
325,g,u,1,pu,1
326,n,m,0,em,1
327,a,r,0,ir,1
328,v,k,0,ek,1
329,s,p,0,ep,1
330,g,m,0,am,1
331,p,l,0,ul,1
332,b,h,0,sh,1
333,s,l,0,il,1
334,g,i,1,hi,1
335,p,n,0,an,1
336,i,n,0,in,1
337,s,n,0,an,1
338,m,u,1,lu,1
339,d,r,0,ar,1
340,n,l,0,al,1
341,s,y,0,ay,1
342,a,r,0,ar,1
343,s,v,0,ev,1
344,r,n,0,an,1
345,r,n,0,an,1
346,r,t,0,it,1
347,p,m,0,em,1
348,s,a,1,ya,1
349,a,h,0,sh,1
350,i,n,0,an,1
351,j,g,0,ng,1
352,o,m,0,om,1
353,k,e,1,re,1
354,d,h,0,sh,1
355,s,l,0,al,1
356,r,m,0,am,1
357,s,j,0,aj,1
358,a,q,0,aq,1
359,s,d,0,id,1
360,v,s,0,as,1
361,v,y,0,ay,1
362,h,i,1,ri,1
363,m,j,0,oj,1
364,p,h,0,sh,1
365,m,j,0,aj,1
366,c,n,0,an,1
367,b,r,0,ar,1
368,s,r,0,ar,1
369,r,l,0,ul,1
370,m,q,0,aq,1
371,r,n,0,an,1
372,m,r,0,ar,1
373,v,l,0,il,1
374,b,l,0,al,1
375,r,m,0,am,1
376,m,h,0,sh,1
377,s,l,0,il,1
378,s,y,0,ny,1
379,j,r,0,er,1
380,b,h,0,sh,1
381,r,u,1,ju,1
382,s,t,0,it,1
383,i,r,0,er,1
384,s,r,0,ir,1
385,h,n,0,en,1
386,k,n,0,an,1
387,g,m,0,am,1
388,r,n,0,an,1
389,a,h,0,sh,1
390,s,j,0,aj,1
391,s,b,0,ob,1
392,s,y,0,ay,1
393,m,h,0,sh,1
394,a,t,0,it,1
395,d,j,0,aj,1
396,k,h,0,sh,1
397,r,v,0,iv,1
398,a,v,0,av,1
399,r,l,0,ul,1
400,d,r,0,er,1
401,a,n,0,in,1
402,s,y,0,ay,1
403,m,r,0,ir,1
404,v,i,1,ti,1
405,i,t,0,et,1
406,s,y,0,ay,1
407,g,u,1,lu,1
408,l,h,0,sh,1
409,r,r,0,ar,1
410,n,j,0,aj,1
411,m,l,0,ul,1
412,r,l,0,al,1
413,j,i,1,ai,1
414,m,a,1,na,1
415,j,i,1,ai,1
416,j,i,1,ai,1
417,s,m,0,am,1
418,p,n,0,en,1
419,p,d,0,od,1
420,a,t,0,it,1
421,d,p,0,ip,1
422,d,p,0,ip,1
423,r,l,0,ul,1
424,a,b,0,ab,1
425,m,u,1,nu,1
426,r,h,0,sh,1
427,s,n,0,an,1
428,m,a,1,na,1
429,s,h,0,bh,1
430,s,h,0,sh,1
431,a,h,0,sh,1
432,s,l,0,al,1
433,n,r,0,ar,1
434,r,n,0,an,1
435,l,r,0,ar,1
436,n,k,0,ak,1
437,h,d,0,ad,1
438,v,s,0,as,1
439,a,h,0,sh,1
440,r,h,0,sh,1
441,a,u,1,hu,1
442,m,t,0,et,1
443,j,l,0,al,1
444,j,l,0,il,1
445,d,k,0,ak,1
446,k,m,0,im,1
447,m,u,1,nu,1
448,s,r,0,ar,1
449,m,h,0,sh,1
450,v,y,0,ay,1
451,u,m,0,am,1
452,s,h,0,bh,1
453,a,h,0,sh,1
454,r,r,0,er,1
455,r,l,0,ul,1
456,n,n,0,an,1
457,l,n,0,an,1
458,r,l,0,ul,1
459,r,t,0,it,1
460,a,y,0,ay,1
461,s,n,0,in,1
462,s,d,0,id,1
463,a,t,0,et,1
464,m,a,1,na,1
465,i,r,0,ar,1
466,h,h,0,sh,1
467,p,t,0,et,1
468,a,h,0,kh,1
469,r,b,0,ab,1
470,a,t,0,it,1
471,v,d,0,od,1
472,p,l,0,ul,1
473,t,d,0,nd,1
474,d,k,0,ak,1
475,p,n,0,an,1
476,n,r,0,er,1
477,l,l,0,al,1
478,d,h,0,sh,1
479,r,h,0,sh,1
480,a,h,0,sh,1
481,k,p,0,ep,1
482,l,l,0,al,1
483,v,k,0,ek,1
484,p,j,0,aj,1
485,s,y,0,ay,1
486,k,n,0,an,1
487,r,r,0,er,1
488,a,r,0,ar,1
489,s,b,0,ab,1
490,g,v,0,av,1
491,r,j,0,aj,1
492,j,r,0,er,1
493,l,t,0,nt,1
494,n,n,0,an,1
495,a,s,0,as,1
496,a,h,0,sh,1
497,r,h,0,sh,1
498,h,m,0,um,1
499,p,u,1,pu,1
500,a,h,0,sh,1
501,m,h,0,sh,1
502,r,i,1,ai,1
503,g,r,0,er,1
504,v,v,0,ev,1
505,b,r,0,ar,1
506,a,t,0,it,1
507,s,r,0,er,1
508,a,y,0,ay,1
509,g,y,0,dy,1
510,s,r,0,er,1
511,d,r,0,er,1
512,v,r,0,er,1
513,a,h,0,sh,1
514,b,o,1,oo,1
515,b,h,0,sh,1
516,g,v,0,av,1
517,s,l,0,il,1
518,g,u,1,du,1
519,y,h,0,sh,1
520,a,l,0,al,1
521,r,h,0,sh,1
522,t,a,1,ra,1
523,m,n,0,in,1
524,p,v,0,av,1
525,n,j,0,aj,1
526,p,r,0,er,1
527,m,a,1,fa,1
528,a,y,0,ay,1
529,s,y,0,ay,1
530,d,r,0,er,1
531,g,v,0,av,1
532,s,h,0,sh,1
533,r,t,0,it,1
534,d,h,0,sh,1
535,s,n,0,in,1
536,s,r,0,ar,1
537,v,n,0,in,1
538,p,h,0,th,1
539,k,p,0,ep,1
540,a,u,1,yu,1
541,p,n,0,an,1
542,r,n,0,an,1
543,r,u,1,ju,1
544,s,r,0,ir,1
545,r,m,0,am,1
546,j,h,0,sh,1
547,k,a,1,ya,1
548,d,k,0,ak,1
549,m,f,0,af,1
550,p,m,0,em,1
551,p,p,0,ep,1
552,m,u,1,nu,1
553,p,n,0,an,1
554,m,j,0,oj,1
555,d,k,0,ak,1
556,n,m,0,am,1
557,d,k,0,ak,1
558,s,l,0,il,1
559,a,y,0,ay,1
560,g,l,0,al,1
561,v,k,0,ek,1
562,m,r,0,ir,1
563,i,a,1,ra,1
564,s,i,1,ni,1
565,a,n,0,un,1
566,a,k,0,ok,1
567,v,r,0,er,1
568,a,n,0,an,1
569,p,n,0,an,1
570,l,i,1,mi,1
571,v,m,0,am,1
572,r,a,1,ma,1
573,s,j,0,aj,1
574,v,r,0,er,1
575,t,a,1,ra,1
576,r,n,0,an,1
577,s,r,0,er,1
578,o,h,0,sh,1
579,s,m,0,am,1
580,a,k,0,ok,1
581,v,e,1,de,1
582,p,m,0,em,1
583,c,a,1,ya,1
584,p,o,1,oo,1
585,s,d,0,nd,1
586,v,h,0,sh,1
587,h,n,0,on,1
588,g,v,0,av,1
589,s,i,1,si,1
590,a,n,0,in,1
591,s,z,0,az,1
592,b,j,0,ij,1
593,a,n,0,an,1
594,d,h,0,sh,1
595,v,y,0,ay,1
596,b,n,0,an,1
597,s,m,0,am,1
598,s,a,1,na,1
599,s,a,1,ra,1
600,n,n,0,en,1
601,r,m,0,am,1
602,a,r,0,ar,1
603,n,u,1,hu,1
604,k,n,0,an,1
605,d,r,0,er,1
606,r,a,1,ja,1
607,r,b,0,ab,1
608,z,l,0,ul,1
609,j,g,0,ag,1
610,d,r,0,er,1
611,r,u,1,tu,1
612,m,j,0,oj,1
613,r,j,0,aj,1
614,a,d,0,nd,1
615,r,r,0,ir,1
616,m,d,0,hd,1
617,s,j,0,aj,1
618,s,a,1,ma,1
619,j,h,0,sh,1
620,b,g,0,ag,1
621,s,n,0,in,1
622,p,t,0,at,1
623,a,d,0,od,1
624,c,r,0,er,1
625,n,m,0,am,1
626,g,m,0,am,1
627,m,n,0,an,1
628,g,d,0,nd,1
629,r,a,1,ja,1
630,p,t,0,ot,1
631,a,v,0,av,1
632,u,a,1,ha,1
633,v,k,0,ek,1
634,a,h,0,sh,1
635,a,t,0,it,1
636,h,h,0,sh,1
637,n,n,0,an,1
638,s,r,0,er,1
639,c,l,0,al,1
640,k,n,0,an,1
641,k,n,0,an,1
642,a,l,0,ul,1
643,v,s,0,as,1
644,s,u,1,hu,1
645,b,u,1,lu,1
646,b,u,1,lu,1
647,r,r,0,er,1
648,r,m,0,am,1
649,r,u,1,ju,1
650,y,b,0,ib,1
651,s,e,1,ne,1
652,m,j,0,oj,1
653,c,u,1,tu,1
654,s,t,0,nt,1
655,o,m,0,om,1
656,m,h,0,sh,1
657,a,n,0,en,1
658,m,h,0,sh,1
659,r,h,0,sh,1
660,s,r,0,ar,1
661,a,t,0,it,1
662,g,m,0,am,1
663,r,j,0,aj,1
664,h,p,0,ep,1
665,r,t,0,it,1
666,h,u,1,hu,1
667,f,t,0,at,1
668,p,j,0,aj,1
669,m,h,0,sh,1
670,k,n,0,an,1
671,r,i,1,vi,1
672,k,r,0,ar,1
673,s,h,0,th,1
674,s,a,1,va,1
675,r,v,0,ev,1
676,v,l,0,al,1
677,m,h,0,sh,1
678,a,k,0,ok,1
679,r,j,0,aj,1
680,i,r,0,ar,1
681,m,i,1,ni,1
682,s,u,1,nu,1
683,a,t,0,it,1
684,t,n,0,in,1
685,r,r,0,er,1
686,r,h,0,sh,1
687,d,h,0,sh,1
688,b,t,0,at,1
689,a,u,1,nu,1
690,o,r,0,ir,1
691,o,r,0,ir,1
692,a,d,0,nd,1
693,r,h,0,sh,1
694,v,n,0,un,1
695,r,l,0,ul,1
696,y,n,0,en,1
697,r,i,1,vi,1
698,j,a,1,ra,1
699,v,k,0,ek,1
700,i,n,0,an,1
701,r,j,0,aj,1
702,m,h,0,sh,1
703,s,l,0,il,1
704,v,m,0,im,1
705,g,v,0,av,1
706,p,k,0,ek,1
707,b,u,1,ju,1
708,p,p,0,ep,1
709,r,r,0,ir,1
710,a,b,0,ub,1
711,r,m,0,am,1
712,a,r,0,ar,1
713,t,l,0,il,1
714,p,n,0,en,1
715,a,i,1,di,1
716,t,r,0,ir,1
717,a,t,0,it,1
718,r,i,1,vi,1
719,a,y,0,ay,1
720,a,j,0,uj,1
721,v,v,0,iv,1
722,i,l,0,al,1
723,d,h,0,sh,1
724,s,j,0,aj,1
725,s,t,0,it,1
726,a,o,1,to,1
727,c,n,0,an,1
728,d,i,1,ri,1
729,c,u,1,tu,1
730,r,m,0,am,1
731,a,n,0,un,1
732,n,l,0,al,1
733,n,n,0,an,1
734,m,u,1,tu,1
735,s,h,0,bh,1
736,f,t,0,at,1
737,a,y,0,ay,1
738,s,r,0,ar,1
739,a,r,0,er,1
740,a,h,0,sh,1
741,a,v,0,av,1
742,a,l,0,il,1
743,r,r,0,ir,1
744,a,t,0,it,1
745,i,t,0,et,1
746,s,r,0,ar,1
747,a,n,0,un,1
748,v,l,0,al,1
749,d,p,0,ip,1
750,s,h,0,sh,1
751,s,n,0,an,1
752,v,d,0,od,1
753,d,h,0,sh,1
754,a,y,0,ay,1
755,p,n,0,an,1
756,a,h,0,sh,1
757,t,r,0,er,1
758,l,n,0,an,1
759,m,n,0,an,1
760,h,r,0,ar,1
761,r,l,0,ul,1
762,m,h,0,sh,1
763,a,n,0,un,1
764,s,i,1,ri,1
765,r,m,0,am,1
766,m,t,0,it,1
767,d,t,0,et,1
768,s,r,0,er,1
769,b,n,0,an,1
770,r,h,0,sh,1
771,s,h,0,dh,1
772,m,t,0,et,1
773,s,n,0,in,1
774,u,a,1,ma,1
775,k,a,1,la,1
776,m,h,0,sh,1
777,s,n,0,in,1
778,t,u,1,ku,1
779,d,k,0,ak,1
780,v,h,0,sh,1
781,j,h,0,sh,1
782,s,r,0,er,1
783,l,a,1,ya,1
784,a,p,0,op,1
785,d,l,0,al,1
786,p,a,1,ra,1
787,h,l,0,al,1
788,k,d,0,nd,1
789,m,j,0,oj,1
790,a,t,0,it,1
791,c,n,0,an,1
792,v,y,0,ay,1
793,p,m,0,am,1
794,r,u,1,tu,1
795,v,y,0,ay,1
796,s,r,0,er,1
797,v,d,0,od,1
798,a,k,0,ek,1
799,a,k,0,ek,1
800,m,h,0,sh,1
801,b,r,0,ir,1
802,r,m,0,am,1
803,r,r,0,ar,1
804,r,h,0,sh,1
805,m,d,0,hd,1
806,s,l,0,al,1
807,r,l,0,ul,1
808,n,j,0,aj,1
809,i,r,0,ar,1
810,b,l,0,al,1
811,r,i,1,vi,1
812,r,t,0,it,1
813,p,d,0,od,1
814,m,t,0,et,1
815,v,l,0,al,1
816,v,y,0,ay,1
817,a,s,0,as,1
818,o,h,0,sh,1
819,d,k,0,ak,1
820,m,m,0,om,1
821,d,k,0,ak,1
822,a,y,0,ay,1
823,a,k,0,ek,1
824,t,r,0,ir,1
825,s,m,0,am,1
826,a,t,0,it,1
827,s,k,0,ak,1
828,a,n,0,an,1
829,k,l,0,al,1
830,n,v,0,av,1
831,k,m,0,im,1
832,n,n,0,in,1
833,d,k,0,ak,1
834,s,n,0,in,1
835,m,r,0,ur,1
836,m,n,0,an,1
837,v,y,0,ay,1
838,g,m,0,am,1
839,r,m,0,am,1
840,s,v,0,ev,1
841,d,r,0,er,1
842,a,m,0,am,1
843,s,n,0,on,1
844,b,i,1,ri,1
845,a,d,0,ad,1
846,j,j,0,rj,1
847,n,h,0,sh,1
848,d,u,1,pu,1
849,p,n,0,an,1
850,a,k,0,ik,1
851,a,t,0,it,1
852,s,m,0,am,1
853,s,h,0,dh,1
854,a,k,0,ok,1
855,s,h,0,sh,1
856,s,v,0,ev,1
857,m,r,0,er,1
858,k,n,0,an,1
859,s,j,0,aj,1
860,a,h,0,sh,1
861,r,r,0,ar,1
862,s,m,0,am,1
863,h,r,0,er,1
864,j,y,0,ay,1
865,m,d,0,hd,1
866,a,t,0,it,1
867,s,m,0,am,1
868,p,d,0,od,1
869,m,t,0,at,1
870,s,v,0,ev,1
871,a,n,0,an,1
872,r,l,0,ul,1
873,s,n,0,an,1
874,m,d,0,hd,1
875,a,f,0,if,1
876,r,r,0,er,1
877,d,h,0,sh,1
878,m,h,0,sh,1
879,r,h,0,sh,1
880,p,u,1,nu,1
881,n,d,0,nd,1
882,r,v,0,ev,1
883,s,d,0,ad,1
884,r,m,0,am,1
885,s,h,0,sh,1
886,l,t,0,at,1
887,v,y,0,ky,1
888,b,h,0,dh,1
889,p,j,0,aj,1
890,l,a,1,la,1
891,d,r,0,er,1
892,c,l,0,al,1
893,a,l,0,ul,1
894,s,d,0,ad,1
895,b,u,1,tu,1
896,s,k,0,nk,1
897,h,e,1,re,1
898,d,k,0,ak,1
899,v,r,0,er,1
900,y,h,0,sh,1
901,a,l,0,ul,1
902,r,u,1,ju,1
903,k,a,1,ma,1
904,n,h,0,sh,1
905,s,h,0,bh,1
906,k,l,0,al,1
907,v,h,0,sh,1
908,d,k,0,ak,1
909,p,h,0,sh,1
910,l,n,0,an,1
911,n,m,0,im,1
912,s,b,0,ab,1
913,d,k,0,ak,1
914,t,l,0,el,1
915,t,d,0,nd,1
916,r,i,1,vi,1
917,b,y,0,by,1
918,p,j,0,aj,1
919,a,t,0,it,1
920,t,r,0,ir,1
921,s,n,0,in,1
922,d,p,0,ip,1
923,r,i,1,vi,1
924,d,k,0,ak,1
925,s,h,0,dh,1
926,p,d,0,od,1
927,d,v,0,ev,1
928,d,r,0,er,1
929,s,u,1,ku,1
930,s,i,1,ri,1
931,o,m,0,om,1
932,m,j,0,aj,1
933,r,a,1,ja,1
934,c,n,0,an,1
935,l,u,1,lu,1
936,s,t,0,et,1
937,d,v,0,ev,1
938,r,u,1,ju,1
939,s,r,0,er,1
940,a,n,0,an,1
941,r,t,0,nt,1
942,a,l,0,il,1
943,d,a,1,va,1
944,f,z,0,oz,1
945,r,l,0,ul,1
946,r,r,0,er,1
947,d,j,0,aj,1
948,s,r,0,ar,1
949,r,n,0,an,1
950,l,t,0,it,1
951,s,a,1,ta,1
952,d,r,0,ir,1
953,k,n,0,an,1
954,r,k,0,ik,1
955,k,n,0,an,1
956,a,g,0,eg,1
957,d,h,0,sh,1
958,s,m,0,am,1
959,r,i,1,ti,1
960,r,l,0,ul,1
961,k,n,0,an,1
962,a,k,0,ek,1
963,r,t,0,at,1
964,j,a,1,ra,1
965,s,v,0,ev,1
966,l,t,0,it,1
967,j,i,1,ai,1
968,a,m,0,am,1
969,s,j,0,aj,1
970,j,r,0,er,1
971,m,i,1,li,1
972,r,n,0,an,1
973,g,n,0,an,1
974,r,m,0,em,1
975,s,h,0,kh,1
976,k,n,0,an,1
977,a,h,0,sh,1
978,p,p,0,ep,1
979,a,l,0,ul,1
980,l,n,0,an,1
981,s,z,0,az,1
982,s,n,0,in,1
983,j,i,1,ti,1
984,a,t,0,it,1
985,s,r,0,ar,1
986,s,v,0,av,1
987,c,n,0,in,1
988,r,i,1,vi,1
989,s,r,0,er,1
990,s,h,0,bh,1
991,p,s,0,os,1
992,a,d,0,id,1
993,r,h,0,sh,1
994,s,t,0,it,1
995,s,l,0,il,1
996,a,n,0,an,1
997,r,h,0,sh,1
998,a,y,0,ay,1
999,m,u,1,nu,1
1000,l,t,0,it,1
1001,h,h,0,sh,1
1002,a,v,0,av,1
1003,a,l,0,il,1
1004,s,h,0,th,1
1005,a,t,0,it,1
1006,a,t,0,it,1
1007,m,n,0,an,1
1008,m,p,0,ap,1
1009,a,l,0,ul,1
1010,m,t,0,it,1
1011,a,r,0,ar,1
1012,a,y,0,ay,1
1013,s,y,0,ny,1
1014,a,t,0,it,1
1015,s,h,0,sh,1
1016,s,y,0,ny,1
1017,r,i,1,vi,1
1018,s,t,0,it,1
1019,r,n,0,an,1
1020,r,t,0,it,1
1021,a,h,0,sh,1
1022,d,k,0,ak,1
1023,a,t,0,it,1
1024,s,u,1,nu,1
1025,a,t,0,it,1
1026,j,a,1,ya,1
1027,s,n,0,in,1
1028,c,l,0,al,1
1029,a,n,0,un,1
1030,a,n,0,un,1
1031,s,p,0,ep,1
1032,i,t,0,nt,1
1033,v,y,0,ay,1
1034,r,h,0,sh,1
1035,s,r,0,ar,1
1036,v,l,0,al,1
1037,d,d,0,nd,1
1038,v,l,0,al,1
1039,c,n,0,an,1
1040,a,n,0,an,1
1041,m,d,0,hd,1
1042,s,e,1,me,1
1043,v,y,0,ay,1
1044,r,n,0,an,1
1045,t,n,0,un,1
1046,s,h,0,sh,1
1047,b,n,0,an,1
1048,n,l,0,il,1
1049,k,n,0,an,1
1050,d,j,0,aj,1
1051,t,n,0,in,1
1052,m,u,1,nu,1
1053,d,j,0,aj,1
1054,s,l,0,il,1
1055,s,i,1,ti,1
1056,d,k,0,ak,1
1057,h,r,0,er,1
1058,h,r,0,er,1
1059,p,t,0,it,1
1060,b,i,1,si,1
1061,b,i,1,ri,1
1062,s,h,0,sh,1
1063,k,n,0,an,1
1064,r,l,0,ul,1
1065,d,j,0,aj,1
1066,m,n,0,an,1
1067,k,n,0,an,1
1068,u,y,0,ay,1
1069,r,h,0,sh,1
1070,v,y,0,ay,1
1071,v,y,0,ay,1
1072,k,a,1,ya,1
1073,k,l,0,al,1
1074,r,m,0,am,1
1075,n,d,0,nd,1
1076,a,l,0,il,1
1077,k,n,0,an,1
1078,k,f,0,if,1
1079,r,u,1,ju,1
1080,s,p,0,ep,1
1081,s,m,0,am,1
1082,a,h,0,sh,1
1083,s,h,0,sh,1
1084,d,k,0,ak,1
1085,d,k,0,ak,1
1086,c,g,0,ag,1
1087,p,e,1,ce,1
1088,t,f,0,if,1
1089,l,n,0,an,1
1090,a,i,1,li,1
1091,s,u,1,ru,1
1092,b,u,1,nu,1
1093,s,t,0,it,1
1094,s,i,1,ni,1
1095,v,h,0,sh,1
1096,a,i,1,li,1
1097,f,j,0,oj,1
1098,r,m,0,am,1
1099,k,n,0,an,1
1100,s,t,0,mt,1
1101,r,t,0,et,1
1102,t,n,0,un,1
